date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:18	591259/591259	---M-Z	200	added ('OK')	text/html	etag:%229059b-5ae355510a89a;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/sdk/index.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/sdk/index.html	(from http://logging.apache.org/log4net/)
11:34:19	66374/66374	---M-Z	200	added ('OK')	text/html	etag:%2210346-5aff530cab599;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/manual/introduction.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/manual/introduction.html	(from http://logging.apache.org/log4net/)
11:34:19	79843/79843	---M-Z	200	added ('OK')	text/html	etag:%22137e3-5aff530cab599;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/manual/configuration.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/manual/configuration.html	(from http://logging.apache.org/log4net/)
11:34:20	23088/23088	---M-Z	200	added ('OK')	text/html	etag:%225a30-5aff530cab599;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/manual/contexts.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/manual/contexts.html	(from http://logging.apache.org/log4net/)
11:34:20	13643/13643	---M-Z	200	added ('OK')	text/html	etag:%22354b-5aff530cab599;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/manual/plugins.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/manual/plugins.html	(from http://logging.apache.org/log4net/)
11:34:20	15051/15051	---M-Z	200	added ('OK')	text/html	etag:%223acb-5aff530cab599;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/manual/repositories.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/manual/repositories.html	(from http://logging.apache.org/log4net/)
11:34:20	24166/24166	---M-Z	200	added ('OK')	text/html	etag:%225e66-5aff530cab599;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/release/manual/internals.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/release/manual/internals.html	(from http://logging.apache.org/log4net/)
11:34:21	10974/10974	---M-Z	200	added ('OK')	text/html	etag:%222ade-5aff530caa5f9;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/mail-lists.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/mail-lists.html	(from http://logging.apache.org/log4net/)
11:34:21	9272/9272	---M-Z	200	added ('OK')	text/html	etag:%222438-5aff530caa5f9;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/issue-tracking.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/issue-tracking.html	(from http://logging.apache.org/log4net/)
11:34:21	10504/10504	---M-Z	200	added ('OK')	text/html	etag:%222908-5aff530cab599;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/source-repository.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/source-repository.html	(from http://logging.apache.org/log4net/)
11:34:21	9386/9386	---M-Z	200	added ('OK')	text/html	etag:%2224aa-5aff530caa5f9;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/integration.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/integration.html	(from http://logging.apache.org/log4net/)
11:34:22	390505/390505	---M-Z	200	added ('OK')	text/html	etag:%225f569-5aff530caa5f9;5aff530ca9659-gzip%22	http://logging.apache.org/log4net/rat-report.html	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/rat-report.html	(from http://logging.apache.org/log4net/)
11:34:24	3330/3330	---M--	200	added ('OK')	image/png	etag:%22d02-5aff530ca9659;5aff530ca9659%22	http://logging.apache.org/log4net/images/maven-feather.png	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/images/maven-feather.png	(from http://logging.apache.org/log4net/)
11:34:24	12799/12799	---M--	200	added ('OK')	image/png	etag:%2231ff-5aff530caa5f9;5aff530ca9659%22	http://logging.apache.org/log4net/img/glyphicons-halflings.png	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/img/glyphicons-halflings.png	(from http://logging.apache.org/log4net/css/bootstrap.min.css)
11:34:25	820/820	---M--	200	added ('OK')	image/gif	etag:%22334-5aff530ca9659;5aff530ca9659%22	http://logging.apache.org/log4net/images/collapsed.gif	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/images/collapsed.gif	(from http://logging.apache.org/log4net/css/site.css)
11:34:25	8777/8777	---M--	200	added ('OK')	image/png	etag:%222249-5aff530caa5f9;5aff530ca9659%22	http://logging.apache.org/log4net/img/glyphicons-halflings-white.png	d:/My%20Web%20Sites/http___logging.apache.org_log4net_/logging.apache.org/log4net/img/glyphicons-halflings-white.png	(from http://logging.apache.org/log4net/css/bootstrap.min.css)
